record_type,year,species,band,beak_length_mm,beak_depth_mm,mid_parent_bd,male_parent_bd,female_parent_bd
beak,1975,fortis,417,11,10.1,,,
beak,1975,fortis,418,10.3,8.6,,,
beak,1975,fortis,419,10.2,8.5,,,
beak,1975,fortis,420,11,9.7,,,
beak,1975,fortis,422,11,10.3,,,
beak,1975,fortis,423,10.1,8.6,,,
beak,1975,fortis,424,10.7,9.3,,,
beak,1975,fortis,425,10.7,8.9,,,
beak,1975,fortis,426,11,9.7,,,
beak,1975,fortis,427,12,10.2,,,
beak,1975,fortis,428,11.6,10.2,,,
beak,1975,fortis,450,9.9,8.5,,,
beak,1975,fortis,451,10.8,8.8,,,
beak,1975,fortis,452,10.5,8.9,,,
beak,1975,fortis,453,10,8.7,,,
beak,1975,fortis,454,9.6,9.3,,,
beak,1975,fortis,455,11,9.7,,,
beak,1975,fortis,456,10.2,9.6,,,
beak,1975,fortis,457,9.7,7.85,,,
beak,1975,fortis,458,11.1,9.6,,,
beak,1975,fortis,459,10.4,9.3,,,
beak,1975,fortis,461,11.1,9.8,,,
beak,1975,fortis,462,10.2,8.8,,,
beak,1975,fortis,463,10.3,9.1,,,
beak,1975,fortis,465,9.9,9,,,
beak,1975,fortis,466,11,10.4,,,
beak,1975,fortis,468,10.8,9,,,
beak,1975,fortis,473,10.5,9.5,,,
beak,1975,fortis,474,10.5,8.7,,,
beak,1975,fortis,475,11.2,9.6,,,
beak,1975,fortis,476,11.2,9.4,,,
beak,1975,fortis,477,11.7,9.5,,,
beak,1975,fortis,479,10.5,8.6,,,
beak,1975,fortis,501,10.5,9.9,,,
beak,1975,fortis,502,11.2,9.4,,,
beak,1975,fortis,503,10,9.1,,,
beak,1975,fortis,504,10.4,8.6,,,
beak,1975,fortis,505,10.8,9.3,,,
beak,1975,fortis,506,11.1,9.2,,,
beak,1975,fortis,507,10.3,8.8,,,
beak,1975,fortis,509,11.1,9.2,,,
beak,1975,fortis,510,9.8,8.3,,,
beak,1975,fortis,511,10.5,8.8,,,
beak,1975,fortis,512,11,9.4,,,
beak,1975,fortis,513,11.2,10.4,,,
beak,1975,fortis,514,9.8,8.5,,,
beak,1975,fortis,515,9.8,7.9,,,
beak,1975,fortis,516,9.8,7.9,,,
beak,1975,fortis,517,10.3,10.1,,,
beak,1975,fortis,518,11.3,9.8,,,
beak,1975,fortis,519,10,8.3,,,
beak,1975,fortis,520,11.1,9.4,,,
beak,1975,fortis,521,10,9,,,
beak,1975,fortis,522,10.3,8.4,,,
beak,1975,fortis,524,10.2,8.7,,,
beak,1975,fortis,526,10.4,9.2,,,
beak,1975,fortis,527,11,9.5,,,
beak,1975,fortis,528,11.5,10.1,,,
beak,1975,fortis,529,11.8,9.8,,,
beak,1975,fortis,560,10.2,8.5,,,
beak,1975,fortis,561,11.7,10.2,,,
beak,1975,fortis,563,10.1,8.6,,,
beak,1975,fortis,564,10.2,9.3,,,
beak,1975,fortis,565,9.8,8.7,,,
beak,1975,fortis,566,10.6,8.9,,,
beak,1975,fortis,567,10,8.4,,,
beak,1975,fortis,572,12.1,10.3,,,
beak,1975,fortis,574,11.1,9.9,,,
beak,1975,fortis,576,10.5,8.9,,,
beak,1975,fortis,578,10,9.1,,,
beak,1975,fortis,579,10.2,8.6,,,
beak,1975,fortis,601,9.7,7.8,,,
beak,1975,fortis,602,10,8.6,,,
beak,1975,fortis,603,10.7,9.5,,,
beak,1975,fortis,604,11,9.5,,,
beak,1975,fortis,605,10.9,10.2,,,
beak,1975,fortis,606,10.5,9.1,,,
beak,1975,fortis,607,10.9,9.7,,,
beak,1975,fortis,608,10.7,9.4,,,
beak,1975,fortis,609,11.9,10.5,,,
beak,1975,fortis,610,10.2,9,,,
beak,1975,fortis,611,10.5,9.8,,,
beak,1975,fortis,615,11.2,10,,,
beak,1975,fortis,616,10.7,9.6,,,
beak,1975,fortis,617,10.3,9.6,,,
beak,1975,fortis,618,11.6,9.9,,,
beak,1975,fortis,619,10.5,9.3,,,
beak,1975,fortis,620,10.9,9.6,,,
beak,1975,fortis,621,9.8,7.6,,,
beak,1975,fortis,622,10.9,9.2,,,
beak,1975,fortis,623,10.3,8.8,,,
beak,1975,fortis,624,11.7,10.1,,,
beak,1975,fortis,625,11,8.9,,,
beak,1975,fortis,626,9.8,9.5,,,
beak,1975,fortis,627,10.4,8.2,,,
beak,1975,fortis,628,10.8,9.7,,,
beak,1975,fortis,629,11,9.8,,,
beak,1975,fortis,670,10.6,9.3,,,
beak,1975,fortis,671,11.3,9.8,,,
beak,1975,fortis,672,10.1,8.8,,,
beak,1975,fortis,673,11.4,10.1,,,
beak,1975,fortis,674,11.8,10.5,,,
beak,1975,fortis,675,9.9,8.6,,,
beak,1975,fortis,676,11,9.7,,,
beak,1975,fortis,677,10.8,10,,,
beak,1975,fortis,678,11.3,9.7,,,
beak,1975,fortis,679,11.1,10.5,,,
beak,1975,fortis,680,11,10.4,,,
beak,1975,fortis,681,10.4,9.2,,,
beak,1975,fortis,682,9.1,8.1,,,
beak,1975,fortis,683,10.8,9.4,,,
beak,1975,fortis,684,10.6,8.9,,,
beak,1975,fortis,685,8.7,8.2,,,
beak,1975,fortis,686,10.7,9.3,,,
beak,1975,fortis,687,10.3,8.6,,,
beak,1975,fortis,688,10.5,9,,,
beak,1975,fortis,689,9.1,7.6,,,
beak,1975,fortis,701,9.5,8.7,,,
beak,1975,fortis,702,10.8,9.8,,,
beak,1975,fortis,703,10.6,9.4,,,
beak,1975,fortis,704,9.9,9.9,,,
beak,1975,fortis,705,11.5,10.1,,,
beak,1975,fortis,706,11.2,9.8,,,
beak,1975,fortis,707,9.7,7.9,,,
beak,1975,fortis,708,12.2,10.8,,,
beak,1975,fortis,709,9.2,7.9,,,
beak,1975,fortis,710,10.5,10,,,
beak,1975,fortis,711,10.5,8.4,,,
beak,1975,fortis,712,10.8,9.5,,,
beak,1975,fortis,713,10.7,8.8,,,
beak,1975,fortis,714,11.8,10.4,,,
beak,1975,fortis,715,9.1,8.1,,,
beak,1975,fortis,716,10.1,9.8,,,
beak,1975,fortis,717,10,8.2,,,
beak,1975,fortis,719,11,9.5,,,
beak,1975,fortis,720,12.2,10.5,,,
beak,1975,fortis,721,11.4,9.7,,,
beak,1975,fortis,723,10.9,9.6,,,
beak,1975,fortis,725,10.6,9.6,,,
beak,1975,fortis,726,9.3,7.9,,,
beak,1975,fortis,780,10.9,10.1,,,
beak,1975,fortis,781,10.6,9.3,,,
beak,1975,fortis,785,11,10.3,,,
beak,1975,fortis,786,9,7.9,,,
beak,1975,fortis,787,11,9.1,,,
beak,1975,fortis,788,10.4,8.9,,,
beak,1975,fortis,789,10.4,8.3,,,
beak,1975,fortis,790,9.6,9.4,,,
beak,1975,fortis,801,10.6,9.5,,,
beak,1975,fortis,802,10.1,8.5,,,
beak,1975,fortis,803,9.7,8.6,,,
beak,1975,fortis,804,9.6,8.5,,,
beak,1975,fortis,805,10.1,8.2,,,
beak,1975,fortis,807,9.9,7.9,,,
beak,1975,fortis,808,11,10,,,
beak,1975,fortis,809,10.9,9.4,,,
beak,1975,fortis,810,9.7,8,,,
beak,1975,fortis,811,10,8.6,,,
beak,1975,fortis,812,10.4,9,,,
beak,1975,fortis,813,11.6,9.9,,,
beak,1975,fortis,814,9.6,8,,,
beak,1975,fortis,815,10.8,9.6,,,
beak,1975,fortis,817,10.9,9.2,,,
beak,1975,fortis,818,10.2,9,,,
beak,1975,fortis,818,10.2,9,,,
beak,1975,fortis,819,10.4,9.2,,,
beak,1975,fortis,820,11,9.5,,,
beak,1975,fortis,821,10.7,9.2,,,
beak,1975,fortis,822,11.1,9.7,,,
beak,1975,fortis,823,10.8,9.1,,,
beak,1975,fortis,824,10.9,9.4,,,
beak,1975,fortis,825,9.9,8.6,,,
beak,1975,fortis,826,11.8,9.8,,,
beak,1975,fortis,827,9.7,8,,,
beak,1975,fortis,828,11.9,10.4,,,
beak,1975,fortis,829,9.6,8.1,,,
beak,1975,fortis,830,10.9,9.9,,,
beak,1975,fortis,831,10.2,8.6,,,
beak,1975,fortis,891,9.9,8,,,
beak,1975,fortis,892,11.3,9,,,
beak,1975,fortis,893,10.9,9.7,,,
beak,1975,fortis,894,9.8,8.1,,,
beak,1975,fortis,895,10.3,8.8,,,
beak,1975,fortis,896,8.8,7.5,,,
beak,1975,fortis,897,11.6,10.2,,,
beak,1975,fortis,898,9.9,8.2,,,
beak,1975,fortis,899,9.9,8.6,,,
beak,1975,fortis,900,9.9,8.7,,,
beak,1975,fortis,902,10.4,8.6,,,
beak,1975,fortis,903,11.2,9.9,,,
beak,1975,fortis,904,10.8,9.5,,,
beak,1975,fortis,905,9.9,8.4,,,
beak,1975,fortis,906,9.9,8.7,,,
beak,1975,fortis,907,10.2,8.2,,,
beak,1975,fortis,908,10.4,9.2,,,
beak,1975,fortis,909,9.4,8.2,,,
beak,1975,fortis,910,10.2,9.2,,,
beak,1975,fortis,911,11,9.3,,,
beak,1975,fortis,912,10.6,8.9,,,
beak,1975,fortis,913,10.5,9,,,
beak,1975,fortis,914,10.4,9.1,,,
beak,1975,fortis,915,10.2,8.8,,,
beak,1975,fortis,917,10.2,8.8,,,
beak,1975,fortis,919,11,9.6,,,
beak,1975,fortis,921,11.1,10.2,,,
beak,1975,fortis,922,9.7,8.2,,,
beak,1975,fortis,923,10.5,8.9,,,
beak,1975,fortis,924,10.9,9,,,
beak,1975,fortis,925,10.7,8.8,,,
beak,1975,fortis,926,11,9.9,,,
beak,1975,fortis,927,10.9,9.3,,,
beak,1975,fortis,928,11.2,9.9,,,
beak,1975,fortis,929,11.5,9.5,,,
beak,1975,fortis,930,10.8,10,,,
beak,1975,fortis,931,10.2,8.9,,,
beak,1975,fortis,932,11,9.8,,,
beak,1975,fortis,933,10.9,9.9,,,
beak,1975,fortis,934,10.5,8.7,,,
beak,1975,fortis,936,10.8,9.2,,,
beak,1975,fortis,941,9.8,8.2,,,
beak,1975,fortis,942,9.7,7.9,,,
beak,1975,fortis,943,10.3,9.1,,,
beak,1975,fortis,944,10.3,8.3,,,
beak,1975,fortis,944,10.3,8.3,,,
beak,1975,fortis,945,11.6,10.8,,,
beak,1975,fortis,945,11.6,10.8,,,
beak,1975,fortis,951,10.9,9.9,,,
beak,1975,fortis,952,10.6,9,,,
beak,1975,fortis,954,11.5,9.3,,,
beak,1975,fortis,991,10.8,9.6,,,
beak,1975,fortis,1040,10.83,9.3,,,
beak,1975,fortis,1368,11.73,10.2,,,
beak,1975,fortis,1420,10.23,8.6,,,
beak,1975,fortis,1433,11.83,10.98,,,
beak,1975,fortis,1560,11.43,10.28,,,
beak,1975,fortis,1581,10.73,9.6,,,
beak,1975,fortis,1770,10.33,9.28,,,
beak,1975,fortis,1857,10.23,9.5,,,
beak,1975,fortis,1860,11.53,9.4,,,
beak,1975,fortis,1884,11.03,9.15,,,
beak,1975,fortis,2102,11.73,9.8,,,
beak,1975,fortis,2105,10.53,9.35,,,
beak,1975,fortis,2220,9.93,8.5,,,
beak,1975,fortis,2381,11.23,10.5,,,
beak,1975,fortis,2482,9.83,8.5,,,
beak,1975,fortis,2939,9.63,8.31,,,
beak,1975,fortis,2955,10.6,9.9,,,
beak,1975,fortis,2974,11.88,10.36,,,
beak,1975,fortis,3642,11.03,10.28,,,
beak,1975,fortis,8016,10.73,8.9,,,
beak,1975,fortis,8020,10.13,8.7,,,
beak,1975,fortis,20139,10.15,9.15,,,
beak,1975,fortis,20165,10.85,10.35,,,
beak,1975,fortis,20166,10.95,8.85,,,
beak,1975,fortis,20168,9.85,8.55,,,
beak,1975,fortis,20204,10.25,8.95,,,
beak,1975,fortis,20238,11.75,10.75,,,
beak,1975,fortis,20267,10.95,10.05,,,
beak,1975,fortis,20273,10.95,10.15,,,
beak,1975,fortis,20283,10.55,8.45,,,
beak,1975,fortis,20285,9.65,8.85,,,
beak,1975,fortis,20286,11.45,10.25,,,
beak,1975,fortis,20293,10.25,9.75,,,
beak,1975,fortis,20298,10.05,8.95,,,
beak,1975,scandens,302,13.9,8.4,,,
beak,1975,scandens,304,14,8.8,,,
beak,1975,scandens,306,12.9,8.4,,,
beak,1975,scandens,310,13.5,8,,,
beak,1975,scandens,317,12.9,7.9,,,
beak,1975,scandens,318,14.6,8.9,,,
beak,1975,scandens,319,13,8.6,,,
beak,1975,scandens,322,14.2,8.5,,,
beak,1975,scandens,325,14,8.9,,,
beak,1975,scandens,327,14.2,9.1,,,
beak,1975,scandens,351,13.1,8.6,,,
beak,1975,scandens,353,15.1,9.8,,,
beak,1975,scandens,357,13.5,8.2,,,
beak,1975,scandens,358,14.4,9,,,
beak,1975,scandens,359,14.9,9.7,,,
beak,1975,scandens,361,12.9,8.6,,,
beak,1975,scandens,362,13,8.2,,,
beak,1975,scandens,363,14.9,9,,,
beak,1975,scandens,364,14,8.4,,,
beak,1975,scandens,365,13.8,8.6,,,
beak,1975,scandens,367,13,8.9,,,
beak,1975,scandens,404,14.75,9.1,,,
beak,1975,scandens,406,13.7,8.3,,,
beak,1975,scandens,407,13.8,8.7,,,
beak,1975,scandens,408,14,9.6,,,
beak,1975,scandens,409,14.6,8.5,,,
beak,1975,scandens,412,15.2,9.1,,,
beak,1975,scandens,421,13.5,9,,,
beak,1975,scandens,429,15.1,9.2,,,
beak,1975,scandens,460,15,9.9,,,
beak,1975,scandens,464,12.8,8.6,,,
beak,1975,scandens,467,14.9,9.2,,,
beak,1975,scandens,469,15.3,8.4,,,
beak,1975,scandens,470,13.4,8.9,,,
beak,1975,scandens,471,14.2,8.5,,,
beak,1975,scandens,472,15.1,10.4,,,
beak,1975,scandens,478,15.1,9.6,,,
beak,1975,scandens,508,14,9.1,,,
beak,1975,scandens,523,13.6,9.3,,,
beak,1975,scandens,525,14,9.3,,,
beak,1975,scandens,562,14,8.8,,,
beak,1975,scandens,568,13.9,8.3,,,
beak,1975,scandens,569,14,8.8,,,
beak,1975,scandens,570,14.9,9.1,,,
beak,1975,scandens,571,15.6,10.1,,,
beak,1975,scandens,573,13.8,8.9,,,
beak,1975,scandens,575,14.4,9.2,,,
beak,1975,scandens,577,12.8,8.5,,,
beak,1975,scandens,612,14.2,10.2,,,
beak,1975,scandens,613,13.4,10.1,,,
beak,1975,scandens,614,14,9.2,,,
beak,1975,scandens,718,14.8,9.7,,,
beak,1975,scandens,722,14.2,9.1,,,
beak,1975,scandens,724,13.5,8.5,,,
beak,1975,scandens,727,13.4,8.2,,,
beak,1975,scandens,728,14.6,9,,,
beak,1975,scandens,729,13.5,9.3,,,
beak,1975,scandens,782,13.7,8,,,
beak,1975,scandens,783,13.9,9.1,,,
beak,1975,scandens,784,13.1,8.1,,,
beak,1975,scandens,806,13.4,8.3,,,
beak,1975,scandens,816,13.8,8.7,,,
beak,1975,scandens,890,13.6,8.8,,,
beak,1975,scandens,901,14,8.6,,,
beak,1975,scandens,916,13.5,8.7,,,
beak,1975,scandens,918,12.8,8,,,
beak,1975,scandens,920,14,8.8,,,
beak,1975,scandens,935,13.4,9,,,
beak,1975,scandens,953,14.9,9.1,,,
beak,1975,scandens,1014,15.54,9.74,,,
beak,1975,scandens,1642,14.63,9.1,,,
beak,1975,scandens,1748,14.73,9.8,,,
beak,1975,scandens,1841,15.73,10.4,,,
beak,1975,scandens,1842,14.83,8.3,,,
beak,1975,scandens,2084,15.94,9.44,,,
beak,1975,scandens,2397,15.14,9.04,,,
beak,1975,scandens,8110,14.23,9,,,
beak,1975,scandens,20122,14.15,9.05,,,
beak,1975,scandens,20151,14.35,9.65,,,
beak,1975,scandens,20188,14.95,9.45,,,
beak,1975,scandens,20210,13.95,8.65,,,
beak,1975,scandens,20223,14.05,9.45,,,
beak,1975,scandens,20225,14.55,9.45,,,
beak,1975,scandens,20252,14.05,9.05,,,
beak,1975,scandens,20255,14.45,8.75,,,
beak,1975,scandens,20266,15.05,9.45,,,
beak,1975,scandens,20279,13.25,8.35,,,
beak,2012,fortis,19022,10,8.5,,,
beak,2012,fortis,19028,12.5,8.9,,,
beak,2012,fortis,19032,9.3,7.5,,,
beak,2012,fortis,19041,10.3,9.6,,,
beak,2012,fortis,19044,11,9.2,,,
beak,2012,fortis,19048,10.1,8.2,,,
beak,2012,fortis,19072,9.6,7.8,,,
beak,2012,fortis,19082,10.9,8.6,,,
beak,2012,fortis,19104,10.3,8.4,,,
beak,2012,fortis,19114,9.8,7.7,,,
beak,2012,fortis,19121,10.1,8,,,
beak,2012,fortis,19126,10.4,8.7,,,
beak,2012,fortis,19146,9.6,8.1,,,
beak,2012,fortis,19164,10.6,8.8,,,
beak,2012,fortis,19174,10.6,9.4,,,
beak,2012,fortis,19203,11.9,10,,,
beak,2012,fortis,19210,11.3,9.6,,,
beak,2012,fortis,19217,11.3,9.6,,,
beak,2012,fortis,19224,9.7,8.1,,,
beak,2012,fortis,19226,9.7,7.5,,,
beak,2012,fortis,19252,10.1,8.4,,,
beak,2012,fortis,19263,10,7.9,,,
beak,2012,fortis,19274,10,8.3,,,
beak,2012,fortis,19280,10,8.9,,,
beak,2012,fortis,19288,11.5,9.1,,,
beak,2012,fortis,19328,9.5,7.7,,,
beak,2012,fortis,19349,11.2,8.3,,,
beak,2012,fortis,19362,10.7,8.6,,,
beak,2012,fortis,19372,10,8.4,,,
beak,2012,fortis,19382,9.8,7.7,,,
beak,2012,fortis,19384,10.9,9.1,,,
beak,2012,fortis,19392,9.2,7.7,,,
beak,2012,fortis,19394,10.2,9,,,
beak,2012,fortis,19422,11.3,10.2,,,
beak,2012,fortis,19439,10.3,8.1,,,
beak,2012,fortis,19461,10.7,8.6,,,
beak,2012,fortis,19482,10,8.4,,,
beak,2012,fortis,19502,9.7,8.1,,,
beak,2012,fortis,19511,9.9,8,,,
beak,2012,fortis,19536,10.7,8.3,,,
beak,2012,fortis,19563,11,10.3,,,
beak,2012,fortis,19568,9.7,8,,,
beak,2012,fortis,19602,10.5,8.8,,,
beak,2012,fortis,19604,11.7,9,,,
beak,2012,fortis,19614,10.8,9.3,,,
beak,2012,fortis,19623,9.1,7.6,,,
beak,2012,fortis,19627,10.9,8.2,,,
beak,2012,fortis,19642,12.2,10,,,
beak,2012,fortis,19649,10.9,8.2,,,
beak,2012,fortis,19654,10.7,8.2,,,
beak,2012,fortis,19674,10.4,8.3,,,
beak,2012,fortis,19682,9.7,7.8,,,
beak,2012,fortis,19712,10.3,8,,,
beak,2012,fortis,19734,9.8,8.4,,,
beak,2012,fortis,19746,10.6,9.3,,,
beak,2012,fortis,19749,10.5,8.9,,,
beak,2012,fortis,19774,12.5,9.7,,,
beak,2012,fortis,19782,9.2,7.6,,,
beak,2012,fortis,19815,10.1,9,,,
beak,2012,fortis,19820,10.6,8.6,,,
beak,2012,fortis,19821,11.5,8.9,,,
beak,2012,fortis,19829,10.8,8.6,,,
beak,2012,fortis,19832,10.5,8.8,,,
beak,2012,fortis,19835,10.1,8.5,,,
beak,2012,fortis,19840,10.7,9.2,,,
beak,2012,fortis,19849,9.6,8,,,
beak,2012,fortis,19874,10.7,9.4,,,
beak,2012,fortis,19878,10.1,7.7,,,
beak,2012,fortis,19889,10,8.4,,,
beak,2012,fortis,19914,10,8.5,,,
beak,2012,fortis,19921,10.4,9,,,
beak,2012,fortis,19922,10.4,9,,,
beak,2012,fortis,19928,11.7,9.3,,,
beak,2012,fortis,19932,10.6,8.7,,,
beak,2012,fortis,19942,11.5,8.1,,,
beak,2012,fortis,19946,10.7,8.7,,,
beak,2012,fortis,19947,10.4,7.9,,,
beak,2012,fortis,19952,10.1,7.7,,,
beak,2012,fortis,19974,10.8,8.4,,,
beak,2012,fortis,19993,11.5,9.25,,,
beak,2012,fortis,19994,11.1,8.1,,,
beak,2012,fortis,21049,9.9,8.3,,,
beak,2012,fortis,21052,10.5,8.5,,,
beak,2012,fortis,21080,12.2,9.9,,,
beak,2012,fortis,21082,10.9,8.4,,,
beak,2012,fortis,21087,12.9,9.9,,,
beak,2012,fortis,21088,9.7,7.2,,,
beak,2012,fortis,21089,9.7,8.2,,,
beak,2012,fortis,21090,10,8.2,,,
beak,2012,fortis,21129,10.1,8.3,,,
beak,2012,fortis,21160,10.2,8.4,,,
beak,2012,fortis,21161,9.6,7.5,,,
beak,2012,fortis,21162,9.9,8.2,,,
beak,2012,fortis,21165,10.6,8.6,,,
beak,2012,fortis,21169,9.8,8.2,,,
beak,2012,fortis,21191,11.1,8.8,,,
beak,2012,fortis,21244,10,8.5,,,
beak,2012,fortis,21247,10.9,8.1,,,
beak,2012,fortis,21249,10,8.3,,,
beak,2012,fortis,21258,10.6,8.5,,,
beak,2012,fortis,21259,10.7,8.1,,,
beak,2012,fortis,21261,9.4,7.3,,,
beak,2012,fortis,21262,10.1,8,,,
beak,2012,fortis,21265,11.8,10.2,,,
beak,2012,fortis,21266,12.2,11.1,,,
beak,2012,fortis,21272,12.9,9.9,,,
beak,2012,fortis,21273,10.1,8.7,,,
beak,2012,fortis,21276,10.1,8.3,,,
beak,2012,fortis,21277,9,7.8,,,
beak,2012,fortis,21282,11.7,9.9,,,
beak,2012,fortis,21283,10.9,10.3,,,
beak,2012,fortis,21287,10.4,8.4,,,
beak,2012,fortis,21293,12.7,8.7,,,
beak,2012,fortis,21294,10.5,9.8,,,
beak,2012,fortis,21296,9.6,8.7,,,
beak,2012,fortis,21298,10.6,9,,,
beak,2012,fortis,21299,10.4,7.8,,,
beak,2012,fortis,21341,10.5,8.5,,,
beak,2012,fortis,21343,10.1,8.2,,,
beak,2012,fortis,21349,10.6,9.2,,,
beak,2012,fortis,22000,10.6,9,,,
beak,2012,scandens,19026,14.3,9.4,,,
beak,2012,scandens,19028,12.5,8.9,,,
beak,2012,scandens,19029,13.7,9.5,,,
beak,2012,scandens,19094,13.8,11,,,
beak,2012,scandens,19122,12,8.7,,,
beak,2012,scandens,19125,13,8.4,,,
beak,2012,scandens,19129,13,9.1,,,
beak,2012,scandens,19172,13.6,8.7,,,
beak,2012,scandens,19182,12.8,10.2,,,
beak,2012,scandens,19212,13.6,9.6,,,
beak,2012,scandens,19214,12.95,8.85,,,
beak,2012,scandens,19244,13.1,8.8,,,
beak,2012,scandens,19251,13.4,9.5,,,
beak,2012,scandens,19260,13.9,9.2,,,
beak,2012,scandens,19270,12.3,9,,,
beak,2012,scandens,19278,14,9.8,,,
beak,2012,scandens,19289,12.5,9.3,,,
beak,2012,scandens,19299,12.3,9,,,
beak,2012,scandens,19312,13.9,10.2,,,
beak,2012,scandens,19326,13.1,7.7,,,
beak,2012,scandens,19343,12.5,9,,,
beak,2012,scandens,19374,13.9,9.5,,,
beak,2012,scandens,19401,13.7,9.4,,,
beak,2012,scandens,19406,12,8,,,
beak,2012,scandens,19408,14.4,8.9,,,
beak,2012,scandens,19426,13.5,9.4,,,
beak,2012,scandens,19430,13.8,9.5,,,
beak,2012,scandens,19433,13,8,,,
beak,2012,scandens,19438,14.9,10,,,
beak,2012,scandens,19452,12.5,8.95,,,
beak,2012,scandens,19466,12.3,8.2,,,
beak,2012,scandens,19469,12.8,8.8,,,
beak,2012,scandens,19486,13.4,9.2,,,
beak,2012,scandens,19492,13.8,9.4,,,
beak,2012,scandens,19493,13.5,9.5,,,
beak,2012,scandens,19494,13.5,8.1,,,
beak,2012,scandens,19495,13.4,9.5,,,
beak,2012,scandens,19496,12.3,8.4,,,
beak,2012,scandens,19497,14.35,9.3,,,
beak,2012,scandens,19510,13.2,9.3,,,
beak,2012,scandens,19513,13.8,9.6,,,
beak,2012,scandens,19518,14.6,9.2,,,
beak,2012,scandens,19526,14.3,10,,,
beak,2012,scandens,19527,13.8,8.9,,,
beak,2012,scandens,19528,13.6,10.5,,,
beak,2012,scandens,19543,12.9,8.9,,,
beak,2012,scandens,19553,13,8.6,,,
beak,2012,scandens,19554,13.5,8.8,,,
beak,2012,scandens,19573,13.2,9.15,,,
beak,2012,scandens,19592,13.7,9.5,,,
beak,2012,scandens,19594,13.1,9.1,,,
beak,2012,scandens,19597,13.2,10.2,,,
beak,2012,scandens,19598,12.6,8.4,,,
beak,2012,scandens,19599,13,10,,,
beak,2012,scandens,19619,13.9,10.2,,,
beak,2012,scandens,19622,13.2,9.3,,,
beak,2012,scandens,19652,15,10.8,,,
beak,2012,scandens,19653,13.37,8.3,,,
beak,2012,scandens,19664,11.4,7.8,,,
beak,2012,scandens,19692,13.8,9.8,,,
beak,2012,scandens,19720,13,7.9,,,
beak,2012,scandens,19740,13,8.9,,,
beak,2012,scandens,19747,13.1,7.7,,,
beak,2012,scandens,19766,12.8,8.9,,,
beak,2012,scandens,19783,13.3,9.4,,,
beak,2012,scandens,19844,13.5,9.4,,,
beak,2012,scandens,19848,12.4,8.5,,,
beak,2012,scandens,19852,13.1,8.5,,,
beak,2012,scandens,19854,14,9.6,,,
beak,2012,scandens,19855,13.5,10.2,,,
beak,2012,scandens,19868,11.8,8.8,,,
beak,2012,scandens,19882,13.7,9.5,,,
beak,2012,scandens,19900,13.2,9.3,,,
beak,2012,scandens,19910,12.2,9,,,
beak,2012,scandens,19936,13,9.2,,,
beak,2012,scandens,19940,13.1,8.7,,,
beak,2012,scandens,19941,14.7,9,,,
beak,2012,scandens,19951,13.7,9.1,,,
beak,2012,scandens,19955,13.5,8.7,,,
beak,2012,scandens,19956,13.3,9.4,,,
beak,2012,scandens,21040,14.1,9.8,,,
